号码,形态,和值,跨度,奇偶比,大小比,质合比,联合概率评分
472,组六,13,5,2:1,2:1,1:2,0.000492075
742,组六,13,5,2:1,2:1,1:2,0.000492075
247,组六,13,5,2:1,2:1,1:2,0.000492075
724,组六,13,5,2:1,2:1,1:2,0.000492075
274,组六,13,5,2:1,2:1,1:2,0.000492075
427,组六,13,5,2:1,2:1,1:2,0.000492075
762,组六,15,5,2:1,1:2,1:2,0.000478953
276,组六,15,5,2:1,1:2,1:2,0.000478953
726,组六,15,5,2:1,1:2,1:2,0.000478953
267,组六,15,5,2:1,1:2,1:2,0.000478953
672,组六,15,5,2:1,1:2,1:2,0.000478953
627,组六,15,5,2:1,1:2,1:2,0.000478953
328,组六,13,6,2:1,2:1,1:2,0.00047239199999999997
823,组六,13,6,2:1,2:1,1:2,0.00047239199999999997
374,组六,14,4,1:2,2:1,1:2,0.00047239199999999997
832,组六,13,6,2:1,2:1,1:2,0.00047239199999999997
526,组六,13,4,2:1,1:2,1:2,0.00047239199999999997
473,组六,14,4,1:2,2:1,1:2,0.00047239199999999997
562,组六,13,4,2:1,1:2,1:2,0.00047239199999999997
743,组六,14,4,1:2,2:1,1:2,0.00047239199999999997
283,组六,13,6,2:1,2:1,1:2,0.00047239199999999997
256,组六,13,4,2:1,1:2,1:2,0.00047239199999999997
734,组六,14,4,1:2,2:1,1:2,0.00047239199999999997
347,组六,14,4,1:2,2:1,1:2,0.00047239199999999997
382,组六,13,6,2:1,2:1,1:2,0.00047239199999999997
265,组六,13,4,2:1,1:2,1:2,0.00047239199999999997
625,组六,13,4,2:1,1:2,1:2,0.00047239199999999997
238,组六,13,6,2:1,2:1,1:2,0.00047239199999999997
652,组六,13,4,2:1,1:2,1:2,0.00047239199999999997
437,组六,14,4,1:2,2:1,1:2,0.00047239199999999997
285,组六,15,6,2:1,1:2,1:2,0.00045979488000000003
582,组六,15,6,2:1,1:2,1:2,0.00045979488000000003
258,组六,15,6,2:1,1:2,1:2,0.00045979488000000003
852,组六,15,6,2:1,1:2,1:2,0.00045979488000000003
528,组六,15,6,2:1,1:2,1:2,0.00045979488000000003
825,组六,15,6,2:1,1:2,1:2,0.00045979488000000003
385,组六,16,5,1:2,1:2,1:2,0.0004527090000000001
835,组六,16,5,1:2,1:2,1:2,0.0004527090000000001
853,组六,16,5,1:2,1:2,1:2,0.0004527090000000001
358,组六,16,5,1:2,1:2,1:2,0.0004527090000000001
583,组六,16,5,1:2,1:2,1:2,0.0004527090000000001
538,组六,16,5,1:2,1:2,1:2,0.0004527090000000001
326,组六,11,4,2:1,2:1,1:2,0.00043460064
367,组六,16,4,1:2,1:2,1:2,0.00043460064
637,组六,16,4,1:2,1:2,1:2,0.00043460064
623,组六,11,4,2:1,2:1,1:2,0.00043460064
763,组六,16,4,1:2,1:2,1:2,0.00043460064
736,组六,16,4,1:2,1:2,1:2,0.00043460064
632,组六,11,4,2:1,2:1,1:2,0.00043460064
236,组六,11,4,2:1,2:1,1:2,0.00043460064
263,组六,11,4,2:1,2:1,1:2,0.00043460064
673,组六,16,4,1:2,1:2,1:2,0.00043460064
362,组六,11,4,2:1,2:1,1:2,0.00043460064
376,组六,16,4,1:2,1:2,1:2,0.00043460064
923,组六,14,7,1:2,2:1,1:2,0.00041334300000000004
932,组六,14,7,1:2,2:1,1:2,0.00041334300000000004
329,组六,14,7,1:2,2:1,1:2,0.00041334300000000004
365,组六,14,3,1:2,1:2,1:2,0.00041334300000000004
653,组六,14,3,1:2,1:2,1:2,0.00041334300000000004
239,组六,14,7,1:2,2:1,1:2,0.00041334300000000004
635,组六,14,3,1:2,1:2,1:2,0.00041334300000000004
563,组六,14,3,1:2,1:2,1:2,0.00041334300000000004
536,组六,14,3,1:2,1:2,1:2,0.00041334300000000004
293,组六,14,7,1:2,2:1,1:2,0.00041334300000000004
392,组六,14,7,1:2,2:1,1:2,0.00041334300000000004
356,组六,14,3,1:2,1:2,1:2,0.00041334300000000004
057,组六,12,7,1:2,1:2,1:2,0.00040232052000000005
507,组六,12,7,1:2,1:2,1:2,0.00040232052000000005
075,组六,12,7,1:2,1:2,1:2,0.00040232052000000005
705,组六,12,7,1:2,1:2,1:2,0.00040232052000000005
750,组六,12,7,1:2,1:2,1:2,0.00040232052000000005
570,组六,12,7,1:2,1:2,1:2,0.00040232052000000005
712,组六,10,6,1:2,2:1,1:2,0.00039680928
721,组六,10,6,1:2,2:1,1:2,0.00039680928
287,组六,17,6,2:1,1:2,1:2,0.00039680928
271,组六,10,6,1:2,2:1,1:2,0.00039680928
217,组六,10,6,1:2,2:1,1:2,0.00039680928
827,组六,17,6,2:1,1:2,1:2,0.00039680928
872,组六,17,6,2:1,1:2,1:2,0.00039680928
782,组六,17,6,2:1,1:2,1:2,0.00039680928
278,组六,17,6,2:1,1:2,1:2,0.00039680928
127,组六,10,6,1:2,2:1,1:2,0.00039680928
172,组六,10,6,1:2,2:1,1:2,0.00039680928
728,组六,17,6,2:1,1:2,1:2,0.00039680928
475,组六,16,3,1:2,1:2,1:2,0.00038027556000000005
592,组六,16,7,1:2,1:2,1:2,0.00038027556000000005
245,组六,11,3,2:1,2:1,1:2,0.00038027556000000005
754,组六,16,3,1:2,1:2,1:2,0.00038027556000000005
452,组六,11,3,2:1,2:1,1:2,0.00038027556000000005
952,组六,16,7,1:2,1:2,1:2,0.00038027556000000005
425,组六,11,3,2:1,2:1,1:2,0.00038027556000000005
574,组六,16,3,1:2,1:2,1:2,0.00038027556000000005
745,组六,16,3,1:2,1:2,1:2,0.00038027556000000005
295,组六,16,7,1:2,1:2,1:2,0.00038027556000000005
254,组六,11,3,2:1,2:1,1:2,0.00038027556000000005
259,组六,16,7,1:2,1:2,1:2,0.00038027556000000005
529,组六,16,7,1:2,1:2,1:2,0.00038027556000000005
524,组六,11,3,2:1,2:1,1:2,0.00038027556000000005
925,组六,16,7,1:2,1:2,1:2,0.00038027556000000005
457,组六,16,3,1:2,1:2,1:2,0.00038027556000000005
542,组六,11,3,2:1,2:1,1:2,0.00038027556000000005
547,组六,16,3,1:2,1:2,1:2,0.00038027556000000005
837,组六,18,5,1:2,1:2,1:2,0.00036085499999999993
387,组六,18,5,1:2,1:2,1:2,0.00036085499999999993
783,组六,18,5,1:2,1:2,1:2,0.00036085499999999993
738,组六,18,5,1:2,1:2,1:2,0.00036085499999999993
873,组六,18,5,1:2,1:2,1:2,0.00036085499999999993
378,组六,18,5,1:2,1:2,1:2,0.00036085499999999993
037,组六,10,7,1:2,2:1,1:2,0.00034720812000000006
073,组六,10,7,1:2,2:1,1:2,0.00034720812000000006
730,组六,10,7,1:2,2:1,1:2,0.00034720812000000006
307,组六,10,7,1:2,2:1,1:2,0.00034720812000000006
703,组六,10,7,1:2,2:1,1:2,0.00034720812000000006
370,组六,10,7,1:2,2:1,1:2,0.00034720812000000006
438,组六,15,5,2:1,2:1,2:1,0.000319302
384,组六,15,5,2:1,2:1,2:1,0.000319302
348,组六,15,5,2:1,2:1,2:1,0.000319302
483,组六,15,5,2:1,2:1,2:1,0.000319302
843,组六,15,5,2:1,2:1,2:1,0.000319302
516,组六,12,5,1:2,1:2,2:1,0.000319302
834,组六,15,5,2:1,2:1,2:1,0.000319302
165,组六,12,5,1:2,1:2,2:1,0.000319302
561,组六,12,5,1:2,1:2,2:1,0.000319302
651,组六,12,5,1:2,1:2,2:1,0.000319302
156,组六,12,5,1:2,1:2,2:1,0.000319302
615,组六,12,5,1:2,1:2,2:1,0.000319302
761,组六,14,6,1:2,1:2,2:1,0.000314928
617,组六,14,6,1:2,1:2,2:1,0.000314928
671,组六,14,6,1:2,1:2,2:1,0.000314928
176,组六,14,6,1:2,1:2,2:1,0.000314928
167,组六,14,6,1:2,1:2,2:1,0.000314928
716,组六,14,6,1:2,1:2,2:1,0.000314928
471,组六,12,6,1:2,2:1,2:1,0.00030652992000000006
741,组六,12,6,1:2,2:1,2:1,0.00030652992000000006
147,组六,12,6,1:2,2:1,2:1,0.00030652992000000006
174,组六,12,6,1:2,2:1,2:1,0.00030652992000000006
417,组六,12,6,1:2,2:1,2:1,0.00030652992000000006
714,组六,12,6,1:2,2:1,2:1,0.00030652992000000006
435,组六,12,2,1:2,2:1,1:2,0.00030652992
453,组六,12,2,1:2,2:1,1:2,0.00030652992
543,组六,12,2,1:2,2:1,1:2,0.00030652992
345,组六,12,2,1:2,2:1,1:2,0.00030652992
354,组六,12,2,1:2,2:1,1:2,0.00030652992
534,组六,12,2,1:2,2:1,1:2,0.00030652992
072,组六,9,7,2:1,2:1,1:2,0.00030311819999999997
927,组六,18,7,1:2,1:2,1:2,0.00030311819999999997
702,组六,9,7,2:1,2:1,1:2,0.00030311819999999997
972,组六,18,7,1:2,1:2,1:2,0.00030311819999999997
270,组六,9,7,2:1,2:1,1:2,0.00030311819999999997
207,组六,9,7,2:1,2:1,1:2,0.00030311819999999997
027,组六,9,7,2:1,2:1,1:2,0.00030311819999999997
279,组六,18,7,1:2,1:2,1:2,0.00030311819999999997
720,组六,9,7,2:1,2:1,1:2,0.00030311819999999997
792,组六,18,7,1:2,1:2,1:2,0.00030311819999999997
729,组六,18,7,1:2,1:2,1:2,0.00030311819999999997
297,组六,18,7,1:2,1:2,1:2,0.00030311819999999997
530,组六,8,5,1:2,2:1,1:2,0.000295245
503,组六,8,5,1:2,2:1,1:2,0.000295245
035,组六,8,5,1:2,2:1,1:2,0.000295245
305,组六,8,5,1:2,2:1,1:2,0.000295245
